PC1,PC2,Method
-0.7535426180336151,0.3842032332301453,RL
-0.517014921295401,0.10965756793167779,RL
0.793259409940482,0.28188365077842986,RL
0.41222600238776513,0.28279103521764887,RL
-0.2382266678855047,-1.8337309318961685,RL
-0.355504019840162,0.4777279319522607,RL
-0.24834257263087015,-0.3188283170621888,RL
-0.8258591249820507,-0.6598764632473466,RL
0.1038676595574146,-0.28471373083098306,RL
-0.391096762961189,0.9422712169000599,RL
0.5025621889844574,0.3526476415474936,RL
-0.38537182232381223,0.15384720657866563,RL
0.7301696876842324,0.3822343336617637,RL
-0.46012261304530644,0.20530014826265602,RL
0.736177590263847,0.32251556121735875,RL
0.01778562341118941,-1.266184450841126,RL
-0.11835938539609002,0.4716587196637859,RL
-1.3960698900292916,-0.25652314778074,RL
0.108901349340059,-0.8758115023851684,RL
0.6533874278346506,0.6652300357240427,RL
0.1242235904642949,0.0853299245586798,RL
0.902674053629449,0.8225609571488528,RL
-0.4380038095376777,-0.0352776059768511,RL
-1.5317270072865057,0.4213503929427775,RL
0.34179982913615775,-1.1925526326021127,RL
-0.805363782350314,-0.020564770975020474,RL
-1.2329987936997198,-0.1189206492085212,RL
-0.17174345027571572,-0.11253621352384112,RL
0.47533344209913103,-1.29158778424564,RL
-2.4537728622300845,-0.22936828881413818,RL
0.13581646583641552,-1.3560311236541238,RL
1.1549417105463915,-1.0510455709361664,RL
-1.2225923571767139,-1.0351553213084848,RL
-0.09332650440633501,-1.1984100807769962,RL
-0.832058460087253,-1.4629694595597431,RL
-0.4990975827458015,-2.0483241777392522,RL
1.592915343318476,-0.12478978974661065,RL
-1.8663903111292495,-0.12055054783358214,RL
-1.104782334055328,-0.879760211989198,RL
0.34432327298107007,1.2210633935960677,RL
-1.4084802571167676,0.11698823959614625,RL
0.43684275809226447,0.9259126728040518,RL
0.9345672626382554,1.117630284964671,RL
-1.012666362607068,-0.38802226867715794,RL
0.7367293174242129,-2.1108184616596897,RL
-2.2911672793889895,-0.1148334786146092,RL
0.09420396036171719,-0.5315979871977569,RL
-0.21750579656430408,0.7427197077981122,RL
0.14724975181749406,-0.3546357961783736,RL
0.8963954372430655,-0.31348090719115407,RL
-1.940462226058885,-0.5738214535648916,RL
1.1736174881768808,0.7433586111784419,RL
-0.34474723346860214,0.5651342449869143,RL
0.8682695075738439,1.8723468713739084,RL
1.1859883369909348,1.6030309694157379,RL
1.3849719604103736,0.8232779006156676,RL
-0.3028327678540996,-0.9409462081718766,RL
-1.594119727432926,0.6246186520339135,RL
-1.0820656134161746,-0.32271836867257325,RL
0.6867641266767022,-0.00044647921397332794,RL
0.04250300214779259,-0.5919924526936016,RL
0.37694491185230217,0.7801931619862984,RL
-1.250592471490569,0.2533036338637382,RL
0.8716984294291213,0.25220320270477603,RL
-0.2887319736295601,0.6288531676078553,RL
1.1539626582204974,-0.6809564333264003,RL
0.6964272868324202,0.7222436550853317,RL
0.9711818195678824,0.40631079686117805,RL
0.5281997209800937,0.04662408641122233,RL
0.3533858044974704,0.3097842706355583,RL
-0.5127020726864845,-0.3967598173661094,RL
0.5686832896515782,0.2950862759028521,RL
-0.23175725790268384,0.9787819912414815,RL
-0.5402879533269762,0.5408586314866283,RL
1.1757646475204855,0.46799982178989546,RL
-0.6422463272881491,0.795868251902937,RL
1.5077587708323683,1.0132163743359637,RL
0.2850851536264742,-1.6468932145893278,RL
1.2735712211862438,-1.2054449234278348,RL
-1.73170186513226,0.3710358431802557,RL
0.35696271542995095,-1.4013516424018118,RL
-0.5196972888877761,0.5079056497720197,RL
2.2873007555402536,-0.8115601631320959,RL
-0.39962755822348833,0.7564944348515308,RL
-0.8740189602051428,-0.019353580904658243,RL
0.22162505427790202,-0.5736071829593609,RL
-0.5390253659502362,-0.2149210796208338,RL
-1.5822455401288307,0.5331388783750589,RL
1.1823970740075762,0.6177288962915938,RL
-0.1575545422951113,0.8686081258041025,RL
0.8453617877820616,0.6894309283681117,RL
1.4513471238711697,0.5884947730454513,RL
-0.29734561599933035,-0.5615577026740183,RL
-0.34426165890365723,0.5733012231901277,RL
0.7177122811039011,-1.3748139322896344,RL
0.4442993696617524,0.7976310417772672,RL
1.1355326127626868,0.8750778097604743,RL
0.5983495654946236,-0.3293293031964586,RL
0.2822734524690019,1.0547094403850026,RL
0.2067222967158784,0.37281734999920446,RL
0.6294096223941028,1.3922635698932684,RL
0.2121573859372233,-1.6477085844002914,RL
-0.6359387739488555,-0.24150873070984857,RL
-0.19223003089884644,-0.18817312717943072,RL
0.42639496637165764,-1.3461278849779312,RL
-0.166508815607746,-0.40275614687369893,RL
-0.5470007591003251,-0.2041442826572484,RL
2.153211270736637,-0.950498474835563,RL
1.1803845629830034,-1.1294077517564565,RL
-0.4284938395845244,-0.8601110555852515,RL
-0.22088463522897506,-1.5490376969876587,RL
0.12051905295772045,-0.870465802164058,RL
-0.5571817930514692,-0.7416100357523321,RL
-0.613041133945971,-1.1674374522396203,RL
-0.12751762332965086,-0.771225230870267,RL
-1.368916660059083,0.15898786393150896,RL
-2.1821870708940385,-0.48718570723182253,RL
0.7018440580199747,0.12794969077921667,RL
0.9381851449794081,-1.7873466089664054,RL
0.1992264095953816,-1.9450057247189738,RL
-1.605604696969385,-0.7067454087614281,RL
-0.43239372432546863,0.07159828063358192,RL
0.9524200848998383,-1.084182702432506,RL
0.13595838359282206,-1.6096940153272985,RL
1.6779356468937294,-0.9518631047640863,RL
0.48637080870210503,-0.06267324115532248,RL
-0.4658155966778165,1.5493671179213517,RL
1.0592430885208524,-0.3849870311233125,RL
1.5055525594635157,-1.1870432090619183,RL
0.5048274941397082,0.26618831120233927,RL
0.32846617066822775,0.7532359449427206,RL
1.1219124527999784,-1.9436969737114331,RL
-1.417057904478214,-0.02166393831393544,RL
1.4633449178460451,-1.173357012736505,RL
-1.3815548272667464,-0.6137883112108997,RL
1.1743241453488256,-0.2830975950919587,RL
0.42717914328818624,-1.3512899360468429,RL
-0.23762576216523784,0.3519728322383318,RL
1.3931961174120333,0.44137668147442377,RL
